age,default,balance,housing,loan,duration,campaign,previous,job_unemployed,job_self-employed,job_entrepreneur,job_student,job_housemaid,job_retired,marital_married,marital_single,education_primary,education_secondary,education_tertiary,poutcome_failure,poutcome_other,y
24,0,-254,1,1,290,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
53,0,-626,1,0,205,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
46,0,593,1,0,190,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
45,0,13117,0,0,42,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
33,0,2098,0,0,67,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
27,0,3792,0,0,279,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
48,0,363,0,0,67,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
56,0,238,1,0,808,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
36,0,1855,1,0,75,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
53,0,0,0,0,140,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
49,0,-147,1,0,390,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
33,0,0,1,0,1448,7,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
36,0,189,1,0,136,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0
52,0,0,0,0,182,11,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
37,0,539,0,0,540,2,3,0,0,0,0,0,0,1,0,0,0,1,1,0,0
34,0,-72,1,0,273,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
58,0,602,1,0,201,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
33,0,2557,1,0,186,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
32,0,1160,1,1,450,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
41,0,64,1,1,210,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
53,0,2398,1,0,317,1,2,0,0,0,0,0,0,0,1,0,1,0,1,0,1
52,0,1317,0,0,58,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
39,0,278,0,1,60,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
45,0,998,1,0,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,231,1,1,568,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
60,0,225,0,0,54,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
50,0,717,1,0,113,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
28,0,11555,0,0,125,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
26,0,1153,0,0,238,3,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
34,0,4659,1,0,28,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
33,0,3470,0,0,285,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
35,0,0,1,0,477,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
43,0,36,0,0,118,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0
31,0,1626,0,0,356,2,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0
39,0,902,1,0,691,2,5,0,0,0,0,0,0,0,0,0,1,0,1,0,1
59,0,0,1,0,52,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34,0,-73,1,0,90,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
44,0,0,0,0,56,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
57,0,282,0,1,261,12,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
35,0,6411,1,1,144,1,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0
47,0,3285,0,0,248,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
37,0,3913,1,0,124,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
56,0,4063,0,1,31,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
31,0,430,1,0,137,16,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
33,0,3935,1,0,765,1,2,0,0,0,0,0,0,1,0,0,1,0,1,0,1
32,0,0,0,0,104,9,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
40,0,641,0,0,156,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
