age,default,balance,housing,loan,duration,campaign,pdays,previous,job_unemployed,job_services,job_management,job_blue-collar,job_self-employed,job_technician,job_entrepreneur,job_admin.,job_student,job_housemaid,job_retired,marital_married,marital_single,education_primary,education_secondary,education_tertiary,poutcome_unknown,poutcome_failure,poutcome_other,y
57,0,46,0,0,238,2,999,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
41,0,140,1,0,65,3,999,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
42,0,5774,1,0,54,2,999,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0
42,0,2111,1,0,86,2,999,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
53,0,238,1,0,238,2,361,5,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
31,0,79,1,1,235,11,999,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
32,0,53,1,0,276,1,195,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
28,0,3694,0,1,70,2,999,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
25,0,-76,1,0,241,3,999,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
39,0,8,0,0,88,3,999,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
35,0,700,1,0,240,2,999,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
35,0,0,1,0,171,1,999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
33,0,1998,0,0,570,1,999,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
55,0,343,1,0,276,3,999,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
50,0,0,0,0,72,5,999,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
52,0,36,0,0,109,2,999,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
57,0,10,0,0,320,3,999,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
42,0,0,0,0,85,2,999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
30,0,1882,1,0,249,5,999,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
51,0,174,0,0,308,3,999,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
26,0,-759,1,0,191,1,999,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
38,0,173,0,0,150,4,999,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
34,0,1298,1,0,120,1,999,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
25,0,343,0,0,377,1,999,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
73,0,19,0,0,509,2,999,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0
26,0,-8,0,0,402,2,999,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
33,0,191,1,0,162,2,999,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
39,0,235,0,0,217,1,999,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
59,0,0,0,0,425,6,999,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
60,0,1088,1,0,149,1,999,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
