age,job,marital,education,default,balance,housing,loan,duration,campaign,pdays,previous,poutcome,y
30,unemployed,married,primary,0,1787,0,0,79,1,999,0,unknown,0
33,services,married,secondary,0,4789,1,1,220,1,339,4,failure,0
35,management,single,tertiary,0,1350,1,0,185,1,330,1,failure,0
30,management,married,tertiary,0,1476,1,1,199,4,999,0,unknown,0
59,blue-collar,married,secondary,0,0,1,0,226,1,999,0,unknown,0
35,management,single,tertiary,0,747,0,0,141,2,176,3,failure,0
36,self-employed,married,tertiary,0,307,1,0,341,1,330,2,other,0
39,technician,married,secondary,0,147,1,0,151,2,999,0,unknown,0
41,entrepreneur,married,tertiary,0,221,1,0,57,2,999,0,unknown,0
43,services,married,primary,0,-88,1,1,313,1,147,2,failure,0
39,services,married,secondary,0,9374,1,0,273,1,999,0,unknown,0
43,admin.,married,secondary,0,264,1,0,113,2,999,0,unknown,0
36,technician,married,tertiary,0,1109,0,0,328,2,999,0,unknown,0
20,student,single,secondary,0,502,0,0,261,1,999,0,unknown,1
31,blue-collar,married,secondary,0,360,1,1,89,1,241,1,failure,0
40,management,married,tertiary,0,194,0,1,189,2,999,0,unknown,0
56,technician,married,secondary,0,4073,0,0,239,5,999,0,unknown,0
37,admin.,single,tertiary,0,2317,1,0,114,1,152,2,failure,0
25,blue-collar,single,primary,0,-221,1,0,250,1,999,0,unknown,0
31,services,married,secondary,0,132,0,0,148,1,152,1,other,0
38,management,divorced,unknown,0,0,1,0,96,2,999,0,unknown,0
42,management,divorced,tertiary,0,16,0,0,140,3,999,0,unknown,0
44,services,single,secondary,0,106,0,0,109,2,999,0,unknown,0
44,entrepreneur,married,secondary,0,93,0,0,125,2,999,0,unknown,0
26,housemaid,married,tertiary,0,543,0,0,169,3,999,0,unknown,0
41,management,married,tertiary,0,5883,0,0,182,2,999,0,unknown,0
55,blue-collar,married,primary,0,627,1,0,247,1,999,0,unknown,0
67,retired,married,unknown,0,696,0,0,119,1,105,2,failure,0
56,self-employed,married,secondary,0,784,0,1,149,2,999,0,unknown,0
53,admin.,married,secondary,0,105,0,1,74,2,999,0,unknown,0
68,retired,divorced,secondary,0,4189,0,0,897,2,999,0,unknown,1
31,technician,married,secondary,0,171,0,0,81,3,999,0,unknown,0
59,management,married,secondary,0,42,0,0,40,1,999,0,unknown,0
32,management,single,tertiary,0,2536,1,0,958,6,999,0,unknown,1
49,technician,married,tertiary,0,1235,0,0,354,3,999,0,unknown,1
42,admin.,divorced,secondary,0,1811,1,0,150,1,999,0,unknown,0
78,retired,divorced,primary,0,229,0,0,97,1,999,0,unknown,1
32,blue-collar,married,secondary,0,2089,1,0,132,1,999,0,unknown,1
33,management,married,secondary,0,3935,1,0,765,1,342,2,failure,1
23,services,single,tertiary,0,363,1,0,16,18,999,0,unknown,0
38,management,single,tertiary,0,11971,1,0,609,2,101,3,failure,0
36,management,single,tertiary,0,553,0,0,106,2,999,0,unknown,0
52,blue-collar,married,secondary,0,1117,1,0,365,1,999,0,unknown,0
32,technician,married,tertiary,0,396,1,0,205,3,999,0,unknown,0
32,technician,single,tertiary,0,2204,1,0,11,4,999,0,unknown,0
34,management,single,tertiary,0,872,1,0,105,2,999,0,unknown,0
55,blue-collar,married,primary,0,145,0,0,59,3,5,2,other,0
26,blue-collar,married,primary,0,0,1,0,425,1,999,0,unknown,0
32,entrepreneur,single,primary,1,-849,1,1,204,1,999,0,unknown,0
61,admin.,married,unknown,0,4629,1,0,181,1,92,1,success,1
45,blue-collar,divorced,primary,0,844,0,0,1018,3,999,0,unknown,1
37,technician,single,secondary,0,228,1,0,1740,2,999,0,unknown,0
38,technician,single,secondary,0,50,0,0,98,2,999,0,unknown,0
34,technician,married,tertiary,0,1539,1,0,441,1,56,1,other,1
53,blue-collar,married,secondary,0,2231,1,0,272,3,999,0,unknown,0
48,admin.,married,secondary,0,3064,1,0,159,2,999,0,unknown,0
57,management,married,secondary,0,82,0,1,140,1,999,0,unknown,0
33,self-employed,single,tertiary,0,2155,0,0,295,1,999,0,unknown,0
36,retired,single,secondary,0,101,1,1,314,1,999,0,unknown,0
54,technician,divorced,secondary,0,784,1,1,579,1,999,0,unknown,0
41,blue-collar,married,primary,0,-516,0,1,554,3,999,0,unknown,0
63,retired,married,secondary,0,415,1,0,323,1,999,0,unknown,0
48,management,married,tertiary,0,5887,0,0,227,2,999,0,unknown,0
48,services,married,secondary,0,1355,0,0,134,2,999,0,unknown,0
56,admin.,married,secondary,0,16873,0,0,223,1,999,0,unknown,0
51,blue-collar,divorced,secondary,0,203,1,0,134,1,170,5,failure,0
31,services,married,secondary,0,338,1,0,155,1,999,0,unknown,0
29,technician,married,secondary,0,444,1,0,130,4,999,0,unknown,0
41,management,married,secondary,0,0,0,1,630,3,999,0,unknown,0
32,technician,single,tertiary,0,360,0,0,164,2,999,0,unknown,0
37,management,married,tertiary,0,0,0,0,268,2,182,3,success,1
42,entrepreneur,divorced,tertiary,1,2,1,0,380,1,999,0,unknown,0
31,management,single,tertiary,0,6248,1,0,154,2,999,0,unknown,0
41,services,married,tertiary,0,412,1,0,154,5,999,0,unknown,0
56,retired,married,secondary,0,344,1,0,221,1,999,0,unknown,0
